,Close
0,12.92
1,12.58
2,14.33
3,16.00
4,16.00
5,16.67
6,16.67
7,16.25
8,15.58
9,16.25
10,16.42
11,16.25
12,16.50
13,16.33
14,16.08
15,16.75
16,16.50
17,15.83
18,15.67
19,15.50
20,15.33
21,15.58
22,15.25
23,14.50
24,14.33
25,14.67
26,15.75
27,15.33
28,15.58
29,16.25
30,17.17
31,17.58
32,18.67
33,19.33
34,20.37
35,19.58
36,19.75
37,21.00
38,21.25
39,20.50
40,19.92
41,22.42
42,24.00
43,24.62
44,24.58
45,26.00
46,26.37
47,26.08
48,26.33
49,25.75
50,25.83
51,25.21
52,25.00
53,24.50
54,24.75
55,24.17
56,23.21
57,22.79
58,22.29
59,22.67
60,23.29
61,23.17
62,23.37
63,23.42
64,22.67
65,22.62
66,22.58
67,22.75
68,23.25
69,23.71
70,24.83
71,26.50
72,26.92
73,28.33
74,27.87
75,30.37
76,30.75
77,28.42
78,29.33
79,29.33
80,26.17
81,25.83
82,25.50
83,25.17
84,25.08
85,24.67
86,25.29
87,25.12
88,26.42
89,26.33
90,23.62
91,21.17
92,21.79
93,20.58
94,19.25
95,19.58
96,19.42
97,19.33
98,19.62
99,19.29
100,16.75
101,16.67
102,20.00
103,20.67
104,20.62
105,20.37
106,19.75
107,19.08
108,19.87
109,21.33
110,20.96
111,22.83
112,24.54
113,24.00
114,23.92
115,23.50
116,24.87
117,24.42
118,23.25
119,21.17
120,20.75
121,20.62
122,21.58
123,20.79
124,19.17
125,20.33
126,22.00
127,22.33
128,22.17
129,20.83
130,20.79
131,21.17
132,20.58
133,18.96
134,17.83
135,19.67
136,18.96
137,20.04
138,22.92
139,22.46
140,23.50
141,20.71
142,20.58
143,20.37
144,22.50
145,22.33
146,21.96
147,21.71
148,21.42
149,21.00
150,19.96
151,19.21
152,19.17
153,18.92
154,17.42
155,14.83
156,16.00
157,15.92
158,13.92
159,18.71
160,17.00
161,16.58
162,16.17
163,14.54
164,17.25
165,17.25
166,17.92
167,17.25
168,16.29
169,12.92
170,11.25
171,10.92
172,10.58
173,12.25
174,11.33
175,11.25
176,11.87
177,12.00
178,15.00
179,15.12
180,14.25
181,13.42
182,14.83
183,13.87
184,13.37
185,13.37
186,14.25
187,16.12
188,18.79
189,18.08
190,18.12
191,18.33
192,18.67
193,17.83
194,18.83
195,19.46
196,20.67
197,20.75
198,21.04
199,21.75
200,21.58
201,22.58
202,22.08
203,20.46
204,20.33
205,19.92
206,20.08
207,19.83
208,19.33
209,19.29
210,19.08
211,17.37
212,17.08
213,17.92
214,19.17
215,19.33
216,19.33
217,19.08
218,19.33
219,20.17
220,20.25
221,20.17
222,20.00
223,22.33
224,22.50
225,24.83
226,24.67
227,24.43
228,23.67
229,22.50
230,22.50
231,24.43
232,23.63
233,22.59
234,24.23
235,24.00
236,23.83
237,25.51
238,24.60
239,25.67
240,25.17
241,23.33
242,23.07
243,24.87
244,24.80
245,24.33
246,22.70
247,24.00
248,24.40
249,24.66
250,24.17
251,24.07
252,23.83
253,23.11
254,22.99
255,22.78
256,22.94
257,22.99
258,23.22
259,23.08
260,21.74
261,22.49
262,21.10
263,20.49
264,19.85
265,21.15
266,21.90
267,22.39
268,22.60
269,21.69
270,22.37
271,22.61
272,24.79
273,25.25
274,27.10
275,27.95
276,28.65
277,30.02
278,30.00
279,31.64
280,32.05
281,32.40
282,32.30
283,34.90
284,34.70
285,31.10
286,34.90
287,34.98
288,34.95
289,32.25
290,30.49
