,Close
0,18.00
1,18.12
2,19.75
3,20.50
4,19.37
5,19.19
6,19.87
7,19.50
8,20.69
9,20.25
10,21.87
11,20.75
12,20.31
13,20.00
14,19.56
15,20.12
16,19.62
17,19.87
18,19.12
19,18.69
20,19.37
21,18.75
22,19.37
23,18.44
24,17.62
25,17.62
26,19.12
27,19.53
28,19.62
29,19.50
30,19.50
31,19.87
32,20.37
33,20.19
34,19.75
35,20.00
36,20.75
37,20.12
38,20.78
39,21.00
40,20.75
41,22.06
42,22.12
43,23.00
44,23.10
45,23.44
46,21.12
47,20.97
48,21.06
49,20.94
50,20.62
51,20.50
52,20.44
53,20.39
54,20.06
55,20.06
56,20.56
57,20.56
58,20.25
59,20.00
60,18.44
61,19.38
62,19.25
63,17.88
64,17.69
65,18.81
66,19.50
67,20.25
68,20.50
69,21.25
70,22.88
71,22.63
72,22.50
73,23.69
74,23.75
75,24.13
76,23.88
77,23.38
78,23.81
79,23.50
80,23.38
81,23.56
82,23.50
83,23.56
84,22.31
85,21.00
86,17.38
87,19.00
88,20.00
89,18.50
90,18.00
91,17.25
92,18.00
93,19.13
94,18.25
95,17.88
96,16.75
97,16.88
98,17.00
99,15.38
100,17.13
101,17.00
102,17.13
103,17.25
104,19.31
105,19.63
106,18.75
107,19.31
108,20.88
109,20.00
110,18.63
111,20.38
112,19.00
113,20.00
114,16.25
115,17.00
116,17.06
117,17.38
118,16.31
119,15.75
120,15.94
121,16.81
122,16.00
123,15.69
124,15.00
125,14.88
126,15.81
127,16.94
128,16.38
129,16.38
130,16.25
131,16.94
132,16.75
133,16.50
134,17.63
135,16.88
136,17.31
137,16.75
138,16.88
139,16.75
140,18.63
141,19.06
142,19.50
143,19.63
144,20.00
145,19.38
146,19.25
147,19.63
148,19.94
149,19.50
150,18.56
151,19.06
152,19.75
153,18.75
154,16.38
155,15.88
156,16.50
157,16.00
158,16.56
159,16.56
160,16.00
161,16.50
162,16.13
163,16.50
164,16.44
165,15.88
166,15.50
167,16.13
168,15.50
169,15.25
170,15.44
171,15.75
172,15.38
173,15.25
174,14.75
175,13.00
176,13.94
177,12.06
178,11.44
179,12.31
180,13.06
181,13.06
182,13.88
183,14.75
184,15.44
185,15.38
186,16.13
187,17.50
188,16.88
189,15.63
190,14.63
191,15.00
192,15.63
193,16.13
194,15.02
195,14.88
196,15.75
197,16.56
198,16.13
199,16.56
200,16.98
201,17.25
202,15.94
203,15.63
204,16.44
205,14.44
206,14.50
207,14.44
208,15.63
209,14.56
210,15.44
211,15.63
212,15.63
213,14.94
214,14.25
215,14.13
216,14.94
217,15.13
218,14.94
219,15.38
220,15.06
221,14.25
222,15.31
223,15.31
224,14.94
225,15.06
226,15.00
227,15.25
228,14.13
229,14.50
230,12.88
231,14.05
232,14.05
233,14.01
234,14.94
235,14.46
236,14.44
237,15.00
238,14.97
239,15.05
240,15.20
241,15.26
242,15.62
243,15.92
244,15.50
245,15.38
246,14.84
247,16.10
248,14.70
249,15.34
250,15.54
251,14.96
252,15.10
253,15.35
254,13.50
255,13.33
256,12.45
257,11.85
258,10.90
259,12.07
260,11.59
261,12.01
262,12.67
263,12.69
264,13.08
265,14.03
266,14.49
267,15.00
268,15.53
269,15.24
270,14.55
271,15.45
272,15.23
273,15.72
274,15.00
275,15.47
276,15.72
277,15.85
278,15.99
279,16.65
280,16.45
281,16.99
282,16.00
283,16.59
284,16.36
285,16.75
286,16.83
287,16.50
288,17.24
289,16.51
290,16.67
