,Close
0,29.75
1,29.75
2,30.50
3,31.63
4,31.13
5,30.13
6,29.63
7,30.88
8,30.13
9,29.25
10,29.63
11,29.50
12,29.50
13,29.38
14,29.00
15,28.63
16,28.50
17,28.88
18,29.50
19,29.75
20,28.75
21,27.75
22,27.75
23,27.38
24,27.25
25,27.38
26,28.13
27,27.63
28,27.50
29,27.75
30,27.75
31,28.75
32,28.63
33,28.31
34,28.94
35,29.44
36,29.63
37,29.06
38,30.31
39,30.13
40,29.81
41,30.00
42,30.38
43,30.63
44,31.06
45,31.06
46,31.75
47,33.13
48,33.06
49,32.19
50,32.13
51,31.06
52,31.13
53,30.94
54,31.56
55,33.06
56,33.44
57,33.69
58,35.06
59,35.88
60,36.81
61,33.69
62,34.00
63,34.31
64,34.44
65,35.06
66,34.88
67,35.25
68,35.56
69,35.56
70,36.06
71,35.44
72,35.38
73,36.56
74,36.38
75,34.81
76,34.50
77,33.56
78,33.69
79,33.94
80,32.56
81,32.00
82,32.44
83,32.06
84,31.19
85,29.69
86,30.06
87,30.13
88,28.13
89,27.06
90,27.81
91,27.13
92,27.50
93,28.75
94,29.06
95,26.81
96,26.75
97,26.25
98,26.75
99,28.69
100,32.25
101,30.38
102,30.06
103,30.06
104,29.81
105,30.25
106,29.94
107,30.25
108,30.00
109,30.25
110,29.38
111,29.81
112,30.38
113,30.81
114,29.31
115,28.81
116,28.00
117,28.75
118,26.81
119,27.13
120,26.88
121,27.13
122,26.38
123,26.38
124,27.13
125,25.13
126,25.13
127,24.75
128,25.50
129,26.13
130,27.00
131,26.81
132,27.06
133,27.13
134,26.44
135,26.75
136,27.44
137,27.00
138,26.38
139,26.88
140,26.56
141,27.38
142,27.56
143,27.50
144,27.00
145,28.44
146,29.38
147,29.69
148,29.94
149,30.50
150,29.75
151,28.75
152,29.50
153,28.44
154,28.19
155,27.88
156,29.56
157,26.69
158,26.50
159,25.31
160,25.63
161,24.75
162,23.63
163,22.69
164,23.13
165,23.88
166,23.06
167,22.50
168,23.31
169,23.00
170,22.69
171,21.94
172,21.56
173,20.31
174,20.56
175,22.38
176,25.31
177,25.75
178,27.31
179,28.00
180,28.31
181,29.75
182,29.00
183,29.94
184,29.31
185,29.19
186,30.69
187,30.56
188,30.81
189,32.00
190,31.56
191,31.06
192,31.75
193,32.88
194,32.81
195,32.38
196,35.00
197,35.44
198,34.31
199,34.69
200,34.63
201,36.38
202,36.25
203,37.00
204,37.31
205,37.38
206,37.13
207,35.44
208,35.31
209,33.75
210,34.75
211,36.31
212,38.25
213,39.56
214,39.94
215,39.56
216,42.31
217,39.94
218,38.69
219,36.13
220,39.69
221,37.80
222,38.54
223,39.31
224,39.88
225,38.95
226,37.91
227,36.61
228,36.28
229,36.02
230,39.77
231,39.96
232,40.73
233,39.44
234,39.02
235,38.52
236,40.04
237,40.30
238,39.55
239,39.30
240,38.65
241,37.89
242,36.60
243,36.38
244,35.14
245,31.31
246,30.18
247,30.69
248,29.86
249,31.03
250,31.45
251,32.57
252,32.33
253,32.56
254,31.66
255,31.99
256,34.72
257,34.98
258,33.98
259,32.92
260,33.18
261,32.98
262,33.31
263,33.85
264,33.40
265,33.39
266,32.53
267,34.33
268,34.65
269,35.11
270,34.45
271,33.81
272,33.39
273,32.27
274,30.99
275,30.98
276,30.64
277,31.52
278,34.00
279,34.02
280,34.25
281,35.90
282,37.19
283,36.95
284,36.92
285,36.25
286,35.49
287,35.93
288,36.02
289,37.33
290,37.87
